id,latitude,longitude,place_name,county,alternate_name,distance_to_london,number_mps,silver_street,location_uncertain,reference
http://data.ordnancesurvey.co.uk/id/4000000074551671,52.6217,-0.1078,Thorney,Cambridgeshire,,84,,,,https://books.google.co.nz/books?id=EAA9AAAAIAAJ&pg=PA418
http://data.ordnancesurvey.co.uk/id/4000000074551318,52.665,0.1609,Wisbich,Cambridgeshire,Wisbech,90,,,,
http://data.ordnancesurvey.co.uk/id/4000000074555897,53.389,-2.3505,Altringham,Cheshire,Altrincham,180,,,,https://www.trafford.gov.uk/planning/strategic-planning/docs/CAA2014Documents/caa-2014-conservation-area-appraisal-old-market-place.pdf
http://data.ordnancesurvey.co.uk/id/4000000074556976,53.1915,-2.892,Chester,Cheshire,,182,2,,,
http://data.ordnancesurvey.co.uk/id/4000000074575234,53.1635,-2.2108,Congleton,Cheshire,,162,,0.5,,
http://data.ordnancesurvey.co.uk/id/4000000074557688,53.2954,-2.7269,Frodsham,Cheshire,,193,,,,http://archaeologydataservice.ac.uk/archiveDS/archiveDownload?t=arch-1610-1/dissemination/pdf/HTS_Archaeological_Assessments/Vale_Royal/HTS_Arch_Assess_Frodsham.pdf
http://data.ordnancesurvey.co.uk/id/4000000074554813,53.3306,-2.6937,Halton,Cheshire,,197,,,,http://archaeologydataservice.ac.uk/archiveDS/archiveDownload?t=arch-1610-1/dissemination/pdf/HTS_Archaeological_Assessments/Halton/HTS_Arch_Assess_Runcorn_and_Halton.pdf
http://data.ordnancesurvey.co.uk/id/4000000074554809,53.305,-2.3755,Knutsford,Cheshire,,173,,,,http://archaeologydataservice.ac.uk/archiveDS/archiveDownload?t=arch-1610-1/dissemination/pdf/HTS_Archaeological_Assessments/Macclesfield/HTS_Arch_Assess_Knutsford.pdf
http://data.ordnancesurvey.co.uk/id/4000000074577382,53.2604,-2.1255,Macclesfield,Cheshire,,168,,,,
http://data.ordnancesurvey.co.uk/id/4000000074556866,53.02,-2.7656,Malpas,Cheshire,,166,,,,http://archaeologydataservice.ac.uk/archiveDS/archiveDownload?t=arch-1610-1/dissemination/pdf/HTS_Archaeological_Assessments/Chester/HTS_Arch_Assess_Malpas.pdf
http://data.ordnancesurvey.co.uk/id/4000000074563150,53.1928,-2.4447,Middlewich,Cheshire,,167,,,,http://archaeologydataservice.ac.uk/archiveDS/archiveDownload?t=arch-1610-1/dissemination/pdf/HTS_Archaeological_Assessments/Congleton/HTS_Arch_Assess_Middlewich_Revised_2013.pdf
http://data.ordnancesurvey.co.uk/id/4000000074562758,53.0678,-2.5232,Namptwich,Cheshire,Nantwich,165,,,,http://archaeologydataservice.ac.uk/archiveDS/archiveDownload?t=arch-1610-1/dissemination/pdf/HTS_Archaeological_Assessments/Crewe_and_Nantwich/HTS_Arch_Assess_Nantwich.pdf
http://data.ordnancesurvey.co.uk/id/4000000074562963,53.2612,-2.514,Northwich,Cheshire,,174,,,,http://archaeologydataservice.ac.uk/archiveDS/archiveDownload?t=arch-1610-1/dissemination/pdf/HTS_Archaeological_Assessments/Vale_Royal/HTS_Arch_Assess_Northwich.pdf
http://data.ordnancesurvey.co.uk/id/4000000074560976,53.1896,-2.5401,Over,Cheshire,,168,,,1,http://archaeologydataservice.ac.uk/archiveDS/archiveDownload?t=arch-1610-1/dissemination/pdf/HTS_Archaeological_Assessments/Vale_Royal/HTS_Arch_Assess_Over_and_Winsford.pdf
http://data.ordnancesurvey.co.uk/id/4000000074576355,53.143964,-2.36222,Sandbach,Cheshire,,161,,,,
http://data.ordnancesurvey.co.uk/id/4000000074545870,53.4115,-2.1567,Stockport,Cheshire,,180,,,,
http://data.ordnancesurvey.co.uk/id/4000000074562555,53.159,-2.6686,Tarporley,Cheshire,,179,,,,http://archaeologydataservice.ac.uk/archiveDS/archiveDownload?t=arch-1610-1/dissemination/pdf/HTS_Archaeological_Assessments/Vale_Royal/HTS_Arch_Assess_Tarporley.pdf
http://data.ordnancesurvey.co.uk/id/4000000074562159,53.1926,-2.5165,Winsford,Cheshire,,168,,,,
http://data.ordnancesurvey.co.uk/id/4000000074560012,50.4709,-4.7188,Bodmyn,Cornwall,Bodmin,232,2,,,http://www.historic-cornwall.org.uk/csus/towns/bodmin/csus_bodmin_report_2005R064.pdf
